id,title,director,writer,actors,score,style1,style2,style3,country,language,release_date,running_time,Introduction,img
3581,权力的游戏：征服与反抗,,乔治·马丁,尼古拉·科斯特-瓦尔道  皮鲁·埃斯贝克  苏菲·特纳  艾丹·吉伦  哈里·劳埃德,7.8,剧情,动画,,美国,英语,2017,45,《权力的游戏》的前传电视电影，故事由攸伦·葛雷乔伊、詹姆·兰尼斯特、培提尔·贝里席、珊莎·史塔克、韦赛利昂·坦格利安以及瓦里斯讲述，描绘了坦格利安家族从逃离瓦雷利亚到伊耿征服维斯特洛七大王国直到最终“疯王”伊里斯被劳勃·拜拉席恩击败的曲折历史。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2508656697.jpg
3582,脱欧：无理之战,托比·海恩斯,詹姆斯·格拉厄姆,本尼迪克特·康伯巴奇  李·博德曼  奥利弗·莫尔特曼  理查德·古尔丁  马尔科姆·弗里曼,7.7,剧情,,,英国 ,英语,2019,97,本尼迪克特·康伯巴奇将主演聚焦英国脱欧的2小时新剧《脱欧》(Brexit，暂定名)，饰演公投官方竞选组织“VoteLeave”的首席总监多米尼克·卡明斯。该剧将探索这场数据驱动的政治运动，这是现代史上最具争议、最有争议的政府公投之一。剧集由托比·海恩斯执导，剧作家詹姆斯·格拉汉姆操刀剧本，今年下半年开拍。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2544474921.jpg
3583,机器人历险记,克里斯·韦奇,罗恩 ·米塔,宝拉·阿巴杜  哈莉·贝瑞  Lucille Bliss  特瑞·布兰德索  吉姆·布劳德本特,7.5,喜剧,动画,冒险,美国,英语 ,2005,91,这是一个机器人的故事。机器人的等级取决于制造的材料，由铜制造的罗德尼是机器人中最卑微的。但罗德尼天生并不自卑，他认为自己拥有发明家的大脑。小镇的生活虽然平静，但并不能满足罗德尼的野心，他决定前往“机器人城”拜访著名的发明家“大焊”。于是这天，罗德尼带着自己引以为傲的发明出发了。  但是繁华的“机器人城”却令乡下来的罗德尼感到迷惑，幸好一伙被称为“废铜烂铁”的机器人向他伸出了援手，令罗德尼暂时在城里落了脚。与此同时，一伙破坏分子却正在策划着摧毁“机器人城”……,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p453495354.jpg
3584,鬼乡,赵正莱,赵正莱,姜荷娜  崔莉  郑仁基  白秀莲  吴智慧,7.5,剧情,,,韩国,韩语 ,2016,127,故事发生在1943年，日军的屡屡侵犯打破了朝鲜国民的宁静生活，一时间硝烟四起，百姓们失去了赖以生存的家园，过着流离失所的悲苦生活。居昌郡的一个小小村落里，生活着名为正敏（姜荷娜饰）的十四岁少女，正敏出生在一个平凡但恩爱的家庭中，从小到大都沐浴在父母慈祥的关爱之下。  战争的到来结束了正敏无忧无虑的生活，某日，日军占领了村庄，不由分说的将正敏掠走送上了开往日本的火车，和她同行的，都是一些和正敏差不多岁数的少女，每个人心中都惴惴不安，不知会有怎样的命运等待着她们。正敏和其他少女们沦为了日军发泄兽欲的对象，过着暗无天日的悲惨生活，然而正敏内心里有一个无比坚定的希望，那就是活下来，重返故乡。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2226663805.jpg
3585,恋如雨止,永井聪,眉月润,小松菜奈  大泉洋  清野菜名  矶村勇斗  叶山奖之,7.4,剧情,爱情,,日本,日语,2018,112,橘晶，高中２年级，17岁。  不擅长表达感情的她，其实有单恋的对象，  就是打工的家庭餐厅店长──近藤正己（45岁）。  于青春十字路口停滞不前的她，  与面临人生折返点的他，  由这两人纺织而成的小小恋曲，开奏。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2511831665.jpg
3586,布卢明顿,Fernanda Cardoso,Fernanda Cardoso,凯瑟琳·安·麦克格雷格  莎拉· 斯托弗  爱丽珊·麦卡蒂  Seth Cheek  Kamden Roberts,7.4,剧情,同性,,美国,英语,2010,82,一个成长期的女孩在学校里寻求独立过程中，邂逅了美丽的女教授。她们的关系迅速发展，直到一次机会，促使她做出了改变一生的决定。  Jakie，一个22岁的热爱电视表演的女孩，从加利福尼亚来到了这。她已经准备探索新的生活并体会独立，甚至她生活中从未体验过的生活。不久她迷恋上了她的老师。。。。。。。。。她们会最终走爱一起么，还是一时激.情？（@悸花网）,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p498708338.jpg
3587,最终幻想15：王者之剑,野末武志,Takashi Hasegawa,亚伦·保尔  肖恩·宾  琳娜·海蒂  戴维·甘特  达林·德·保罗,7.2,剧情,科幻,动画,日本,英语 ,2017,116,影片基于2016年电子角色扮演游戏《最终幻想XV》的世界观，构成新的水晶故事子系列的一部分。本片由野末武志执导，他曾是最终幻想CGI电影《最终幻想VII降临之子》（2005）的联合导演。《最终幻想XV》总监田畑端担任电影监制，长谷川隆任编剧，约翰·R·格雷厄姆负责作曲。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2436217927.jpg
3588,火影忍者疾风传剧场版：火之意志的继承者,村田雅彦,武上纯希,竹内顺子  中村千绘  日野聪  森久保祥太郎  伊藤健太郎,7.1,剧情,科幻,动画,日本,日语,,96,为追踪4名血继限界继承者的下落，小樱（中村千絵配音）、漩涡鸣人（竹内顺子配音）、卡卡西（井上和彦配音）和佐井奉命前往。但在岩隐和草隐交界的须弥山失去目标，鸣人和佐井也身受重伤。在此之后，自称卑留呼（保志総一朗配音）的前木叶村忍者单方面宣战，他之前因修习鬼芽罗术而被逐出木叶，而今他企图集齐5个血继限界成为不死的完美忍者，进而发起第四次忍界大战。在此危急时刻，卡卡西感受到来自卑留呼的召唤。失去最重要的导师，鸣人、木叶村乃至忍者诸国面临前所未有的挑战……  本片为漫画家岸本齐史的同名原著的剧场版。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1031797948.jpg
3589,南北少林,刘家良,施扬平,李连杰  黄秋燕  张建民  关顺田  麦伟章,7,剧情,动作,武侠,中国大陆 ,汉语普通话,,99,北少林棍僧智明（李连杰饰）为报父母之仇，日日苦练功夫，他天性纯良聪明，深得师父器重。这天，智明收下的一班顽童“徒弟”向他报信，声称退隐多年的赫索王爷再度出山摄政，智明听闻杀父仇人消息怒发冲冠，随即下山为赫索祝寿伺机行刺。与此同时，和智明一样与赫索有血海深仇的莆田南少林俗家弟子司马燕（黄秋燕饰）亦北上刺杀赫索，南少林派出另一俗家弟子赵威（胡坚强饰）暗中接应与保护司马燕。在赫索的寿诞庆典上，智明、司马燕与赵威等人联手行刺，却仍然功亏一篑，三人在重重围堵中逃出，而路上，智明发现司马燕居然是他指腹为婚的未婚妻，身为出家人的智明无法迎娶司马燕，三人计划再度行刺赫索……,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2286331031.jpg
3590,十七岁,周格泰,袁琼琼,任贤齐  贾静雯  石知田  程予希  杨淇,6.8,爱情,,,中国台湾,汉语普通话,2015,112,1983年夏日，17岁的林克铭（石知田饰）和王蕾（程予希饰）因为一场英文演讲比赛结识，懵懂的情感就此发芽。然而一次年少轻狂的意外，硬生生地将两人分离，也浇灭了初恋热血的悸动，甚至没有来得及告别，还没有开始就要说再见的初恋，就在这首BeeGees的《FirstofMay》中结束。  20多年后，45岁的王蕾（贾静雯饰）的女儿，同样17岁的白白（程予希饰）令他们的人生再度交错，45岁的林克铭（任贤齐饰）收到网上传来的一封信，一封似是迟来的、王蕾的信，让他再度忆起，那份纯情的年少时光、那段属于十七岁的狂妄，还有那份寂寞的遗憾。似乎冥冥之中注定了这个特殊的年纪将会有特殊的意义，17岁的白白，也陷入了一场情感的困惑，面对心仪的男生和最好的姐妹，她不知道该如何选择.....,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2274092981.jpg
